id,name,category,subcategory,use_this_when,intent_tags,phone_primary,phone_secondary,sms,address,city,state,zip,area,lat,lng,hours_display,eligibility,cost,military_civilian,confidentiality_reporting_notes,emergency,priority,status,source_name,source_url,verified_at,last_checked_at,reverify_days,recheck_at,change_history,admin_notes,provenance
safety-011,Victims Assistance Center of Jefferson County - Office,Safety & Crisis,Victim Advocacy,"Office contact for advocacy, shelter, domestic violence and sexual-assault services.","[""VAC office"", ""victim advocate"", ""shelter""]",315-782-1823,,,418 Washington Street,Watertown,NY,13601,Jefferson County,,,Monday-Friday 8:00am-4:30pm per source,Victims/survivors in the region,Free services,civilian,,False,P0,active,Victims Assistance Center of Jefferson County,https://vacjc.com/about-us/contact-us/,2026-09-24,2026-09-24,7,2026-10-01,[],,restored_from_pcshomes_deep_research_report
safety-012,New York State Domestic & Sexual Violence Hotline,Safety & Crisis,Domestic Violence,Statewide confidential domestic-violence / sexual-violence support.,"[""NYS DV"", ""domestic violence hotline"", ""sexual violence""]",800-942-6906,,844-997-2121,,,NY,,New York State,,,24/7,Anyone in New York,Free,civilian,,True,P0,active,New York State / LASMNY resource,https://www.lasmny.org/services/domestic-violence/,2026-09-24,2026-09-24,7,2026-10-01,[],,restored_from_pcshomes_deep_research_report
safety-013,National Domestic Violence Hotline,Safety & Crisis,Domestic Violence,"National domestic-violence support, safety planning, and resource navigation.","[""national DV hotline"", ""domestic violence"", ""abuse"", ""not safe""]",800-799-7233,,Text START to 88788,,,NY,,National,,,24/7,Anyone,Free,both,,True,P0,active,National Domestic Violence Hotline,https://www.thehotline.org/,2026-09-24,2026-09-24,7,2026-10-01,[],,restored_from_pcshomes_deep_research_report
safety-014,Childhelp National Child Abuse Hotline,Safety & Crisis,Child Abuse,Concern about child abuse or need for child-abuse crisis support.,"[""child abuse"", ""childhelp"", ""report abuse""]",800-422-4453,,,,,NY,,National,,,24/7,Anyone,Free,both,,True,P0,active,Fort Drum Crisis Phone Numbers / Childhelp,https://home.army.mil/drum/contact/crisis-phone-numbers,2026-09-24,2026-09-24,7,2026-10-01,[],,restored_from_pcshomes_deep_research_report
safety-015,Poison Control,Safety & Crisis,Poison / Exposure,"Possible poisoning, medication exposure, chemical ingestion, or poison question.","[""poison control"", ""overdose"", ""ingestion"", ""exposure""]",800-222-1222,,,,,NY,,National,,,24/7,Anyone,Free,both,,True,P0,active,Poison Control,https://www.poison.org/,2026-09-24,2026-09-24,7,2026-10-01,[],,restored_from_pcshomes_deep_research_report
safety-016,American Red Cross Hero Care Center,Safety & Crisis,Military Emergency Communication,A family emergency needs to be communicated to a deployed or geographically separated service member.,"[""red cross"", ""hero care"", ""emergency message"", ""deployed spouse""]",877-272-7337,,,,,NY,,National / Fort Drum,,,24/7/365,Military members and families,Free,military,,True,P0,active,American Red Cross,https://www.redcross.org/get-help/military-families/hero-care-network/emergency-communication.html,2026-09-24,2026-09-24,7,2026-10-01,[],,restored_from_pcshomes_deep_research_report
safety-017,Fort Drum 24-Hour Chaplain,Safety & Crisis,Chaplain / Confidential Support,"Pastoral care, spiritual support, confidential conversation, or after-hours chaplain need.","[""chaplain"", ""pastoral care"", ""religious support"", ""confidential""]",315-486-1144,,,,,NY,,Fort Drum,,,24/7 number per current Fort Drum chaplain page,Fort Drum community,Free,military,Chaplain communications may have privileged/confidential status; explain separately from command/law-enforcement reporting.,True,P0,active,Fort Drum Chaplain's Office,https://home.army.mil/drum/my-fort/all-services/chaplains-office,2026-09-24,2026-09-24,7,2026-10-01,[],,restored_from_pcshomes_deep_research_report
medical-018,Guthrie Army Health Clinic,Health & Medical,Military Treatment Facility,"Routine on-post military health care, referrals, primary care, and clinic routing.","[""Guthrie"", ""MTF"", ""doctor"", ""TRICARE"", ""Fort Drum medical""]",1-888-838-1303,315-772-4655,,11050 Mount Belvedere Boulevard,Fort Drum,NY,13602,Fort Drum,,,Weekday clinic operations; verify service-specific hours,TRICARE-eligible beneficiaries,TRICARE rules apply,military,,False,P0,active,Guthrie Army Health Clinic / MEDDAC,https://guthrie.tricare.mil/About-Us/Contact-Us,2026-09-24,2026-09-24,30,2026-10-24,[],Guthrie does not operate an emergency department or urgent-care clinic.,restored_from_pcshomes_deep_research_report
medical-019,Guthrie Patient Service Center,Health & Medical,Appointments / Referrals,Help with appointments and patient-service routing at Guthrie.,"[""appointment"", ""referral"", ""Guthrie appointment""]",315-772-4435,,,11050 Mount Belvedere Boulevard,Fort Drum,NY,13602,Fort Drum,,,Monday-Friday 8am-4pm; source notes Wednesday training closure 1-2pm,TRICARE-eligible beneficiaries,TRICARE rules apply,military,,False,P0,active,Guthrie Appointments & Referrals,https://guthrie.tricare.mil/Getting-Care/Appointments-Referrals,2026-09-24,2026-09-24,30,2026-10-24,[],,restored_from_pcshomes_deep_research_report
medical-020,Guthrie Laboratory,Health & Medical,Laboratory,Lab testing at Guthrie.,"[""lab"", ""bloodwork"", ""Guthrie laboratory""]",315-772-5381,315-772-4848,,11050 Mount Belvedere Boulevard,Fort Drum,NY,13602,Fort Drum,,,Monday-Friday 7am-4pm per source,Eligible beneficiaries with orders/referrals as required,TRICARE rules apply,military,,False,P1,active,Guthrie Laboratory,https://guthrie.tricare.mil/Health-Services/Lab-Tests-Radiology/Laboratory,2026-09-24,2026-09-24,60,2026-11-23,[],,restored_from_pcshomes_deep_research_report
medical-021,Guthrie Radiology,Health & Medical,Radiology,X-ray/imaging services at Guthrie.,"[""radiology"", ""xray"", ""imaging"", ""Guthrie""]",315-772-6094,,,11050 Mount Belvedere Boulevard,Fort Drum,NY,13602,Fort Drum,,,Monday-Friday 7am-4pm per source,Eligible beneficiaries with order/referral as required,TRICARE rules apply,military,,False,P1,active,Guthrie Radiology,https://guthrie.tricare.mil/Health-Services/Lab-Tests-Radiology/Radiology,2026-09-24,2026-09-24,60,2026-11-23,[],,restored_from_pcshomes_deep_research_report
medical-022,Falcon Troop Medical Clinic,Health & Medical,Troop Medical Clinic,Troop medical care for eligible Fort Drum personnel.,"[""Falcon troop clinic"", ""soldier clinic"", ""TMC""]",315-772-5513,1-888-838-1303,,19914 MSR Tampa,Fort Drum,NY,13602,Fort Drum,,,Monday-Friday 7am-4pm per source,Eligible Fort Drum personnel,Military health system,military,,False,P1,active,Guthrie Falcon Troop Medical Clinic,https://guthrie.tricare.mil/Clinics/Falcon-Troop-Medical-Clinic,2026-09-24,2026-09-24,60,2026-11-23,[],,restored_from_pcshomes_deep_research_report
medical-023,Samaritan Medical Center Emergency Department,Health & Medical,Emergency Department,Off-post emergency care when an ER is needed.,"[""ER"", ""emergency room"", ""hospital"", ""Samaritan""]",315-785-4000,,,830 Washington Street,Watertown,NY,13601,Watertown / North Country,,,24/7 emergency department,Anyone; insurance/TRICARE network rules may apply,Insurance/TRICARE rules apply,both,,False,P0,active,Samaritan Health Emergency Care,https://samaritanhealth.com/service/emergency-care/,2026-09-24,2026-09-24,30,2026-10-24,[],,restored_from_pcshomes_deep_research_report
medical-024,Samaritan LeRay Urgent Care,Health & Medical,Urgent Care,Non-life-threatening urgent care near Fort Drum.,"[""urgent care"", ""LeRay"", ""walk in clinic""]",315-629-4080,,,,,NY,,LeRay / Fort Drum area,,,Verify current hours before leaving,Anyone; insurance/TRICARE network rules may apply,Insurance/TRICARE rules apply,both,,False,P0,active,Samaritan Health,https://discover.samaritanhealth.com/,2026-09-24,2026-09-24,30,2026-10-24,[],,restored_from_pcshomes_deep_research_report
medical-025,Watertown VA Clinic,Veterans & VA,VA Primary Care,Local VA primary care and outpatient services in Watertown.,"[""Watertown VA"", ""VA doctor"", ""veteran clinic""]",315-425-8240,800-877-6976,,"1222 Arsenal Street, Suite 10A",Watertown,NY,13601,Watertown,,,Verify appointment-specific location and hours,Eligible/enrolled Veterans,VA eligibility/copay rules apply,veteran,,False,P0,active,VA Syracuse Health Care - Watertown VA Clinic,https://www.va.gov/syracuse-health-care/locations/watertown-va-clinic/,2026-09-24,2026-09-24,30,2026-10-24,[],VA public pages have shown conflicting Watertown service-location addresses. Tell users to confirm the address on the appointment.,restored_from_pcshomes_deep_research_report
medical-026,Watertown 2 VA Clinic,Veterans & VA,VA Specialty / Outpatient Care,VA care at the second Watertown clinic/service location.,"[""Watertown 2 VA"", ""VA specialty clinic"", ""Route 11 VA""]",315-425-4400 ext. 58158,,,19472 US Route 11,Watertown,NY,13601,Watertown,,,Source lists weekday service hours; verify appointment,Eligible/enrolled Veterans,VA eligibility/copay rules apply,veteran,,False,P0,active,VA Syracuse Health Care - Watertown 2 VA Clinic,https://www.va.gov/syracuse-health-care/locations/watertown-2-va-clinic/,2026-09-24,2026-09-24,30,2026-10-24,[],,restored_from_pcshomes_deep_research_report
medical-027,Syracuse VA Medical Center,Veterans & VA,VA Medical Center,"Higher-level VA specialty, inpatient, and regional medical care.","[""Syracuse VA"", ""VA hospital"", ""veteran specialty care""]",315-425-4400,800-877-6976,,800 Irving Avenue,Syracuse,NY,13210,Syracuse / Central New York,,,Service-specific hours vary,Eligible/enrolled Veterans,VA eligibility/copay rules apply,veteran,,False,P0,active,VA Syracuse Health Care,https://www.va.gov/syracuse-health-care/locations/syracuse-va-medical-center/,2026-09-24,2026-09-24,30,2026-10-24,[],,restored_from_pcshomes_deep_research_report
medical-028,VA Health Connect - Syracuse System,Veterans & VA,VA Phone Care,VA nurse/clinical routing and health-system access for Syracuse-area VA patients.,"[""VA health connect"", ""VA nurse"", ""VA phone""]",800-877-6976,,,,,NY,,Syracuse VA Health Care region,,,Verify current service availability,Veterans using VA Syracuse Health Care,VA,veteran,,False,P0,active,VA Syracuse Health Care,https://www.va.gov/syracuse-health-care/,2026-09-24,2026-09-24,30,2026-10-24,[],,restored_from_pcshomes_deep_research_report
medical-029,VA Syracuse Mental Health Care,Veterans & VA,Mental Health,Mental-health routing through the Syracuse VA system.,"[""VA mental health"", ""veteran counseling"", ""PTSD help""]",315-425-3463,,,,,NY,,Syracuse VA Health Care region,,,Service-specific hours vary; crisis = 988 press 1,Eligible Veterans,VA,veteran,,False,P0,active,VA Syracuse Health Care,https://www.va.gov/syracuse-health-care/,2026-09-24,2026-09-24,30,2026-10-24,[],,restored_from_pcshomes_deep_research_report
medical-030,Watertown Vet Center,Veterans & VA,Readjustment Counseling,"Readjustment counseling, deployment/combat-related support, and Vet Center services.","[""Vet Center"", ""readjustment counseling"", ""combat counseling"", ""veteran counseling""]",315-782-5479,877-927-8387,,"1511 Washington Street, Suite A",Watertown,NY,13601,Watertown,,,Weekday office hours; after-hours call center available,"Eligible Veterans, service members, and families under Vet Center rules",Free,veteran,,False,P0,active,VA Watertown Vet Center,https://www.va.gov/watertown-vet-center/,2026-09-24,2026-09-24,30,2026-10-24,[],,restored_from_pcshomes_deep_research_report
medical-031,Vet Center Call Center,Veterans & VA,After-Hours Counseling,After-hours Vet Center connection and counseling support.,"[""vet center after hours"", ""veteran counseling hotline""]",877-927-8387,,,,,NY,,National,,,24/7 call center,Veterans/service members/families under Vet Center rules,Free,veteran,,False,P0,active,VA Watertown Vet Center,https://www.va.gov/watertown-vet-center/,2026-09-24,2026-09-24,30,2026-10-24,[],,restored_from_pcshomes_deep_research_report
benefits-032,Jefferson County Department of Social Services,"Food, Money & Benefits",Benefits Front Door,"SNAP, Temporary Assistance, HEAP, Medicaid-related routing, child-care assistance, and county social services.","[""DSS"", ""social services"", ""food stamps"", ""benefits"", ""public assistance""]",315-785-3000,,,250 Arsenal Street,Watertown,NY,13601,Jefferson County,,,County business hours; verify holiday/temporary entrance notices,Program-specific,Free to apply,civilian,,False,P0,active,Jefferson County Department of Social Services,https://www.jeffersoncountyny.gov/socialservices,2026-09-24,2026-09-24,30,2026-10-24,[],,restored_from_pcshomes_deep_research_report
benefits-033,Jefferson County SNAP,"Food, Money & Benefits",SNAP / Food Stamps,Help buying groceries through SNAP.,"[""SNAP"", ""food stamps"", ""EBT"", ""need food""]",315-785-3000,,,250 Arsenal Street,Watertown,NY,13601,Jefferson County,,,County business hours,Income/household rules apply,Free to apply,civilian,,False,P0,active,Jefferson County SNAP,https://www.jeffersoncountyny.gov/departments/socialservices/snap,2026-09-24,2026-09-24,30,2026-10-24,[],,restored_from_pcshomes_deep_research_report
benefits-034,Jefferson County Temporary Assistance,"Food, Money & Benefits",Cash / Temporary Assistance,Need short-term public cash assistance or related county benefits.,"[""temporary assistance"", ""TANF"", ""cash assistance"", ""need money""]",315-785-3000,,,250 Arsenal Street,Watertown,NY,13601,Jefferson County,,,County business hours,Program rules apply,Free to apply,civilian,,False,P0,active,Jefferson County Temporary Assistance,https://www.jeffersoncountyny.gov/departments/socialservices/temporary-assistance,2026-09-24,2026-09-24,30,2026-10-24,[],,restored_from_pcshomes_deep_research_report
benefits-035,Jefferson County HEAP,"Food, Money & Benefits",Heating Assistance,Need help paying for heat or facing a heating emergency.,"[""HEAP"", ""heat help"", ""heating bill"", ""no heat"", ""fuel assistance""]",315-785-3229,315-785-3000,,250 Arsenal Street,Watertown,NY,13601,Jefferson County,,,Seasonal program; status changes during the year,Income/program rules apply,Free to apply,civilian,,False,P0,active,Jefferson County HEAP,https://www.jeffersoncountyny.gov/departments/socialservices/home-energy-assistance-program,2026-09-24,2026-09-24,30,2026-10-24,[],,restored_from_pcshomes_deep_research_report
benefits-036,Jefferson County Child Care Assistance Program,"Food, Money & Benefits",Child Care Assistance,Need help paying for eligible child care.,"[""CCAP"", ""daycare assistance"", ""child care help"", ""pay for daycare""]",315-785-3324,,,250 Arsenal Street,Watertown,NY,13601,Jefferson County,,,County business hours,Program rules apply,Free to apply,civilian,,False,P0,active,Jefferson County CCAP,https://www.jeffersoncountyny.gov/departments/socialservices/child-care,2026-09-24,2026-09-24,30,2026-10-24,[],,restored_from_pcshomes_deep_research_report
benefits-037,North Country Family Health Center WIC,"Food, Money & Benefits",WIC,"Pregnant, postpartum, breastfeeding, or caring for a child under 5 and need nutrition/food support.","[""WIC"", ""pregnant"", ""baby food"", ""formula"", ""young child food""]",315-782-9222,,,238 Arsenal Street,Watertown,NY,13601,Jefferson County,,,Program hours vary by site,WIC eligibility rules apply,Free,civilian,,False,P0,active,North Country Family Health Center WIC,https://www.nocofamilyhealth.org/,2026-09-24,2026-09-24,30,2026-10-24,[],,restored_from_pcshomes_deep_research_report
benefits-038,Community Action Planning Council Food Pantry,"Food, Money & Benefits",Food Pantry,Need immediate grocery/food-pantry help.,"[""food pantry"", ""hungry"", ""emergency food"", ""CAPC""]",315-782-4900 ext. 221,315-782-4900 ext. 222,,,,NY,,Jefferson County,,,Call for current pantry scheduling/hours,Local pantry rules apply,Free,civilian,,False,P1,active,Community Action Planning Council,https://www.capcjc.org/programs/food-and-nutrition-assistance/,2026-09-24,2026-09-24,60,2026-11-23,[],,restored_from_pcshomes_deep_research_report
benefits-039,Fort Drum Army Emergency Relief,"Food, Money & Benefits",Emergency Financial Assistance,"Military emergency financial help, including qualifying loans/grants.","[""AER"", ""emergency money"", ""military financial help"", ""need money now""]",315-772-6560,315-772-0423,,,,NY,,Fort Drum,,,Duty hours; after-hours emergency travel may route through Red Cross,Eligible Soldiers/families under AER rules,Assistance program,military,,False,P0,active,Military OneSource - Fort Drum Emergency Assistance,https://installations.militaryonesource.mil/military-installation/fort-drum/base-essentials/emergency-assistance,2026-09-24,2026-09-24,30,2026-10-24,[],,restored_from_pcshomes_deep_research_report
benefits-040,Fort Drum Financial Readiness Program,"Food, Money & Benefits",Financial Counseling,"Budgeting, financial readiness, money management, and related Army financial education.","[""financial readiness"", ""budget"", ""debt"", ""money counseling""]",315-772-5196,,,,,NY,,Fort Drum,,,Duty hours,Fort Drum military community,Free,military,,False,P1,active,Fort Drum Financial Readiness,https://home.army.mil/drum/about/Garrison/FMWR/ACS,2026-09-24,2026-09-24,60,2026-11-23,[],,restored_from_pcshomes_deep_research_report
benefits-041,Fort Drum ACS Information & Referral,"Food, Money & Benefits",Information & Referral,You do not know which Fort Drum office or program you need.,"[""ACS"", ""information referral"", ""who do I call"", ""Fort Drum help""]",315-772-6799,800-826-0886,,,,NY,,Fort Drum,,,Duty hours,Fort Drum community,Free,military,,False,P1,active,Fort Drum Army Community Service,https://home.army.mil/drum/about/Garrison/FMWR/ACS,2026-09-24,2026-09-24,60,2026-11-23,[],,restored_from_pcshomes_deep_research_report
benefits-042,Military OneSource,"Food, Money & Benefits",Military Support Navigation,"24/7 military-family information, non-medical counseling access, relocation, legal/financial resource navigation, and more.","[""Military OneSource"", ""military counseling"", ""PCS help"", ""family support""]",800-342-9647,,,,,NY,,National,,,24/7,Eligible military community,Free,military,,False,P0,active,Military OneSource / Fort Drum Mountain CARES,https://home.army.mil/drum/my-fort/all-services/CARES,2026-09-24,2026-09-24,30,2026-10-24,[],,restored_from_pcshomes_deep_research_report
benefits-043,Watertown Urban Mission,"Food, Money & Benefits",Local Material Assistance,"Potential local help with food, clothing, household goods, or emergency material needs; verify current programs before publishing as verified.","[""Urban Mission"", ""clothes help"", ""furniture help"", ""food help"", ""material assistance""]",,,,,,NY,,Watertown / Jefferson County,,,Needs re-verification,Program-specific,Often free/low-cost assistance,civilian,,False,P1,needs_recheck,Older Fort Drum Soldier & Family Resource Guide,https://home.army.mil/drum/3516/6439/2995/Soldier_and_Family_Resource_Guide.pdf,,2026-09-24,0,2026-09-24,[],Deep Research intentionally flagged this older local-resource record for re-verification rather than presenting it as current.,restored_from_pcshomes_deep_research_report
legal-044,Fort Drum Legal Assistance,"Legal, Divorce & Family",Military Legal Assistance,"Personal civil legal help including eligible family-law matters, wills, powers of attorney, and legal guidance.","[""JAG"", ""legal assistance"", ""divorce"", ""custody"", ""will"", ""power of attorney""]",315-772-3067,,,,,NY,,Fort Drum,,,Current page lists weekday office hours; verify appointment/walk-in rules,Eligible military clients,Free,military,,False,P0,active,Fort Drum Legal Assistance Office,https://home.army.mil/drum/my-fort/all-services/office-staff-judge-advocate-osja/legal-assistance,2026-09-24,2026-09-24,30,2026-10-24,[],,restored_from_pcshomes_deep_research_report
legal-045,Legal Aid Society of Mid-New York - Watertown,"Legal, Divorce & Family",Civil Legal Aid,"Low-income civil legal help for qualifying issues including family law, housing, benefits and domestic violence.","[""legal aid"", ""free lawyer"", ""divorce attorney"", ""housing lawyer""]",315-955-6700,,,"215 Washington Street, Suite 202",Watertown,NY,13601,Jefferson County,,,By appointment; verify current hours,Income/case-type rules apply,Free legal aid for qualifying clients,civilian,,False,P0,active,Legal Aid Society of Mid-New York,https://www.lasmny.org/about/office-locations/watertown/,2026-09-24,2026-09-24,30,2026-10-24,[],,restored_from_pcshomes_deep_research_report
legal-046,Legal Aid Society of Mid-New York HelpLine,"Legal, Divorce & Family",Civil Legal Aid,Central legal-aid intake / help line.,"[""legal aid helpline"", ""free lawyer""]",877-777-6152,,,,,NY,,Mid-New York,,,Verify current intake hours,Program rules apply,Free,civilian,,False,P0,active,Legal Aid Society of Mid-New York,https://www.lasmny.org/apply/,2026-09-24,2026-09-24,30,2026-10-24,[],,restored_from_pcshomes_deep_research_report
legal-047,Jefferson County Supreme & County Court,"Legal, Divorce & Family",Divorce / Supreme Court,"Divorce action, Supreme Court filing information, and County/Supreme Court matters.","[""divorce court"", ""supreme court"", ""file for divorce""]",315-570-2950,,,"163 Arsenal Street, 2nd Floor",Watertown,NY,13601,Jefferson County,,,Monday-Friday 8:30am-4:30pm per source,Court users,Court filing fees may apply,civilian,,False,P0,active,New York Courts,https://www.nycourts.gov/courts/5th-judicial-district/jefferson-supreme-county-court,2026-09-24,2026-09-24,30,2026-10-24,[],"In New York, divorce actions are brought in Supreme Court, not Family Court.",restored_from_pcshomes_deep_research_report
legal-048,Jefferson County Family Court,"Legal, Divorce & Family",Custody / Support / Family Offense,"Custody, visitation, support, family-offense, and other Family Court matters.","[""family court"", ""custody"", ""child support"", ""visitation"", ""order of protection""]",315-570-2970,,,163 Arsenal Street,Watertown,NY,13601,Jefferson County,,,Monday-Friday 8:30am-4:30pm per source,Court users,Court rules apply,civilian,,False,P0,active,New York Courts,https://www.nycourts.gov/courts/5th-judicial-district/jefferson-county-family-court,2026-09-24,2026-09-24,30,2026-10-24,[],,restored_from_pcshomes_deep_research_report
legal-049,Jefferson County Public Defender,"Legal, Divorce & Family",Public Defender,Criminal defense for qualifying indigent defendants; office also notes certain Family Court representation.,"[""public defender"", ""criminal lawyer"", ""assigned counsel"", ""family court lawyer""]",315-785-3152,,,,Watertown,NY,13601,Jefferson County,,,Monday-Friday 8:30am-4:30pm per source,Qualification/case rules apply,Public defense services for qualifying clients,civilian,,False,P0,active,Jefferson County Public Defender,https://www.jeffersoncountyny.gov/PublicDefender,2026-09-24,2026-09-24,30,2026-10-24,[],,restored_from_pcshomes_deep_research_report
legal-050,Jefferson Supreme Court Law Library,"Legal, Divorce & Family",Self-Help / Law Library,Court-law library and self-help research support for local legal matters.,"[""law library"", ""court forms"", ""legal research"", ""self help""]",315-570-2940,,,163 Arsenal Street,Watertown,NY,13601,Jefferson County,,,Monday-Friday 8:30am-4:30pm per source,Public/court users,Free access; other fees may apply,civilian,,False,P1,active,New York Courts,https://www.nycourts.gov/courts/5th-judicial-district/supreme-court-jefferson-law-library,2026-09-24,2026-09-24,60,2026-11-23,[],,restored_from_pcshomes_deep_research_report
legal-051,Watertown City Court,"Legal, Divorce & Family",City Court,City Court matters in Watertown.,"[""city court"", ""Watertown court"", ""ticket"", ""small claims""]",315-570-2720,,,"317 Washington Street, 10th Floor",Watertown,NY,13601,Watertown,,,Monday-Friday 8:30am-4:30pm per source,Court users,Court fees may apply,civilian,,False,P1,active,New York Courts,https://www.nycourts.gov/courts/5th-judicial-district/watertown-city-court,2026-09-24,2026-09-24,60,2026-11-23,[],,restored_from_pcshomes_deep_research_report
